#CalDate[0], Epoch[1], GeigerHits[2]
2015-07-19 18:18:38,1437329918,1
2015-07-19 18:18:39,1437329919,1
2015-07-19 18:18:41,1437329921,4
2015-07-19 18:18:43,1437329923,1
2015-07-19 18:18:48,1437329928,2
2015-07-19 18:18:49,1437329929,2
2015-07-19 18:18:52,1437329932,1
2015-07-19 18:18:53,1437329933,1
2015-07-19 18:18:54,1437329934,1
2015-07-19 18:18:55,1437329935,1
2015-07-19 18:18:57,1437329937,2
2015-07-19 18:18:58,1437329938,2
2015-07-19 18:18:59,1437329939,1
2015-07-19 18:19:05,1437329945,2
2015-07-19 18:19:06,1437329946,1
2015-07-19 18:19:07,1437329947,1
2015-07-19 18:19:09,1437329949,1
2015-07-19 18:19:10,1437329950,1
2015-07-19 18:19:12,1437329952,1
2015-07-19 18:19:13,1437329953,1
2015-07-19 18:19:17,1437329957,2
2015-07-19 18:19:19,1437329959,2
2015-07-19 18:19:21,1437329961,1
2015-07-19 18:19:24,1437329964,3
2015-07-19 18:19:27,1437329967,2
2015-07-19 18:19:28,1437329968,2
2015-07-19 18:19:31,1437329971,1
2015-07-19 18:19:37,1437329977,1
2015-07-19 18:19:43,1437329983,2
2015-07-19 18:19:51,1437329991,1
2015-07-19 18:19:54,1437329994,1
2015-07-19 18:19:55,1437329995,1
2015-07-19 18:19:59,1437329999,1
2015-07-19 18:20:02,1437330002,2
2015-07-19 18:20:03,1437330003,2
2015-07-19 18:20:05,1437330005,1
2015-07-19 18:20:09,1437330009,1
2015-07-19 18:20:11,1437330011,1
2015-07-19 18:20:13,1437330013,1
2015-07-19 18:20:14,1437330014,1
2015-07-19 18:20:15,1437330015,1
2015-07-19 18:20:17,1437330017,1
2015-07-19 18:20:19,1437330019,1
2015-07-19 18:20:20,1437330020,1
2015-07-19 18:20:21,1437330021,1
2015-07-19 18:20:23,1437330023,2
2015-07-19 18:20:24,1437330024,1
2015-07-19 18:20:29,1437330029,1
2015-07-19 18:20:30,1437330030,1
2015-07-19 18:20:32,1437330032,1
2015-07-19 18:20:33,1437330033,2
2015-07-19 18:20:36,1437330036,1
2015-07-19 18:20:37,1437330037,2
2015-07-19 18:20:40,1437330040,2
2015-07-19 18:20:42,1437330042,1
2015-07-19 18:20:44,1437330044,1
2015-07-19 18:20:45,1437330045,2
2015-07-19 18:20:50,1437330050,1
2015-07-19 18:20:53,1437330053,1
2015-07-19 18:20:55,1437330055,1
2015-07-19 18:20:59,1437330059,2
2015-07-19 18:21:02,1437330062,1
2015-07-19 18:21:03,1437330063,1
2015-07-19 18:21:07,1437330067,1
2015-07-19 18:21:08,1437330068,1
2015-07-19 18:21:10,1437330070,3
2015-07-19 18:21:12,1437330072,1
2015-07-19 18:21:13,1437330073,1
2015-07-19 18:21:15,1437330075,1
2015-07-19 18:21:25,1437330085,2
2015-07-19 18:21:26,1437330086,1
2015-07-19 18:21:29,1437330089,1
2015-07-19 18:21:30,1437330090,2
2015-07-19 18:21:31,1437330091,2
2015-07-19 18:21:33,1437330093,1
2015-07-19 18:21:34,1437330094,2
2015-07-19 18:21:35,1437330095,1
2015-07-19 18:21:37,1437330097,1
2015-07-19 18:21:38,1437330098,1
2015-07-19 18:21:44,1437330104,1
2015-07-19 18:21:46,1437330106,1
2015-07-19 18:21:48,1437330108,1
2015-07-19 18:21:50,1437330110,1
2015-07-19 18:21:51,1437330111,1
2015-07-19 18:21:54,1437330114,1
2015-07-19 18:21:55,1437330115,2
2015-07-19 18:21:58,1437330118,2
2015-07-19 18:22:02,1437330122,2
2015-07-19 18:22:03,1437330123,1
2015-07-19 18:22:06,1437330126,1
2015-07-19 18:22:08,1437330128,1
2015-07-19 18:22:16,1437330136,1
2015-07-19 18:22:20,1437330140,1
2015-07-19 18:22:24,1437330144,1
2015-07-19 18:22:29,1437330149,3
2015-07-19 18:22:31,1437330151,1
2015-07-19 18:22:33,1437330153,1
2015-07-19 18:22:35,1437330155,1
2015-07-19 18:22:38,1437330158,1
2015-07-19 18:22:42,1437330162,1
2015-07-19 18:22:45,1437330165,1
2015-07-19 18:22:46,1437330166,1
2015-07-19 18:22:51,1437330171,1
2015-07-19 18:22:53,1437330173,1
2015-07-19 18:22:54,1437330174,1
2015-07-19 18:23:00,1437330180,1
2015-07-19 18:23:02,1437330182,1
2015-07-19 18:23:03,1437330183,1
2015-07-19 18:23:05,1437330185,1
2015-07-19 18:23:07,1437330187,1
2015-07-19 18:23:10,1437330190,1
2015-07-19 18:23:11,1437330191,1
2015-07-19 18:23:13,1437330193,1
2015-07-19 18:23:15,1437330195,1
2015-07-19 18:23:18,1437330198,1
2015-07-19 18:23:19,1437330199,1
2015-07-19 18:23:21,1437330201,1
2015-07-19 18:23:22,1437330202,1
2015-07-19 18:23:23,1437330203,1
2015-07-19 18:23:28,1437330208,1
2015-07-19 18:23:30,1437330210,1
2015-07-19 18:23:33,1437330213,2
2015-07-19 18:23:39,1437330219,1
2015-07-19 18:23:41,1437330221,1
2015-07-19 18:23:43,1437330223,1
2015-07-19 18:23:48,1437330228,1
2015-07-19 18:23:49,1437330229,2
2015-07-19 18:23:50,1437330230,1
2015-07-19 18:23:52,1437330232,1
2015-07-19 18:23:53,1437330233,1
2015-07-19 18:23:56,1437330236,1
2015-07-19 18:24:03,1437330243,1
2015-07-19 18:24:11,1437330251,1
2015-07-19 18:24:12,1437330252,2
2015-07-19 18:24:16,1437330256,1
2015-07-19 18:24:19,1437330259,1
2015-07-19 18:24:22,1437330262,1
2015-07-19 18:24:30,1437330270,1
2015-07-19 18:24:31,1437330271,1
2015-07-19 18:24:32,1437330272,1
2015-07-19 18:24:41,1437330281,2
2015-07-19 18:24:45,1437330285,1
2015-07-19 18:24:47,1437330287,1
2015-07-19 18:24:49,1437330289,1
2015-07-19 18:24:55,1437330295,1
2015-07-19 18:25:01,1437330301,1
2015-07-19 18:25:05,1437330305,1
2015-07-19 18:25:10,1437330310,2
2015-07-19 18:25:25,1437330325,2
2015-07-19 18:25:26,1437330326,1
2015-07-19 18:25:29,1437330329,1
2015-07-19 18:25:30,1437330330,1
2015-07-19 18:25:37,1437330337,1
2015-07-19 18:25:40,1437330340,1
2015-07-19 18:25:41,1437330341,1
2015-07-19 18:25:48,1437330348,1
2015-07-19 18:25:54,1437330354,1
2015-07-19 18:26:06,1437330366,1
2015-07-19 18:26:08,1437330368,1
2015-07-19 18:26:14,1437330374,2
2015-07-19 18:26:20,1437330380,1
2015-07-19 18:26:27,1437330387,1
2015-07-19 18:26:29,1437330389,1
2015-07-19 18:26:33,1437330393,1
2015-07-19 18:26:37,1437330397,1
2015-07-19 18:26:46,1437330406,1
2015-07-19 18:26:49,1437330409,1
2015-07-19 18:26:54,1437330414,1
2015-07-19 18:26:55,1437330415,1
2015-07-19 18:26:56,1437330416,1
2015-07-19 18:27:10,1437330430,2
2015-07-19 18:27:13,1437330433,1
2015-07-19 18:27:26,1437330446,2
2015-07-19 18:27:30,1437330450,1
2015-07-19 18:27:33,1437330453,1
2015-07-19 18:27:40,1437330460,1
2015-07-19 18:27:42,1437330462,1
2015-07-19 18:27:49,1437330469,1
2015-07-19 18:27:52,1437330472,1
2015-07-19 18:27:57,1437330477,1
2015-07-19 18:28:07,1437330487,1
2015-07-19 18:28:10,1437330490,1
2015-07-19 18:28:12,1437330492,2
2015-07-19 18:28:18,1437330498,1
2015-07-19 18:28:20,1437330500,1
2015-07-19 18:28:21,1437330501,1
2015-07-19 18:28:22,1437330502,1
2015-07-19 18:28:23,1437330503,1
2015-07-19 18:28:24,1437330504,1
2015-07-19 18:28:27,1437330507,1
2015-07-19 18:28:40,1437330520,1
2015-07-19 18:28:41,1437330521,1
2015-07-19 18:28:46,1437330526,1
2015-07-19 18:28:47,1437330527,2
2015-07-19 18:28:49,1437330529,1
2015-07-19 18:28:51,1437330531,1
2015-07-19 18:28:52,1437330532,1
2015-07-19 18:28:54,1437330534,1
