MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
14.740,499,196,441,3
14.760,501,196,441,3
14.780,500,196,441,3
14.800,499,0,440,3
14.820,500,0,440,3
14.840,500,0,440,3
14.860,500,192,440,3
14.880,501,192,440,3
14.900,499,0,440,3
14.920,501,204,439,3
14.940,499,204,439,3
14.960,501,200,438,3
14.980,499,204,439,3
15.000,500,200,438,3
15.020,500,72,438,3
15.040,500,4,437,3
15.060,502,200,438,3
15.080,500,4,437,3
15.100,499,4,437,3
15.120,499,4,437,3
15.140,499,68,437,3
15.160,500,192,436,3
15.180,501,64,436,3
15.200,501,192,436,3
15.220,501,76,435,3
15.240,500,204,435,3
15.260,500,12,435,3
15.280,500,12,435,3
15.300,500,12,435,3
15.320,499,140,435,3
15.340,499,8,434,3
15.360,499,200,434,3
15.380,499,200,434,3
15.400,499,196,433,3
15.420,499,4,433,3
15.440,500,64,432,3
15.460,500,68,433,3
15.480,499,64,432,3
15.500,501,0,432,3
15.520,500,0,432,3
15.540,500,0,432,3
15.560,499,12,431,3
15.580,499,204,431,3
15.600,500,204,431,3
15.620,500,200,430,3
15.640,501,200,430,3
15.660,500,200,430,3
15.680,501,200,430,3
15.700,499,8,430,3
15.720,500,4,429,3
15.740,499,196,429,3
15.760,502,68,429,3
15.780,499,0,428,3
15.800,502,0,428,3
15.820,502,192,428,3
15.840,500,192,428,3
15.860,499,0,428,3
15.880,500,0,428,3
15.900,499,64,428,3
15.920,501,12,427,3
15.940,501,76,427,3
15.960,501,204,427,3
15.980,500,12,427,3
16.000,500,200,426,3
16.020,502,136,426,3
16.040,500,196,425,3
16.060,503,132,425,3
16.080,501,132,425,3
16.100,500,4,425,3
16.120,501,196,425,3
16.140,500,0,424,3
16.160,501,196,425,3
16.180,499,64,424,3
16.200,501,64,424,3
16.220,500,64,424,3
16.240,501,12,423,3
16.260,500,12,423,3
16.280,499,140,423,3
16.300,502,12,423,3
16.320,500,204,423,3
16.340,501,76,423,3
16.360,500,12,423,3
16.380,502,72,422,3
16.400,500,8,422,3
16.420,501,72,422,3
16.440,499,200,422,3
16.460,502,68,421,3
16.480,502,4,421,3
16.500,500,68,421,3
16.520,500,0,420,3
16.540,500,192,420,3
16.560,501,128,420,3
16.580,500,12,419,3
16.600,502,76,419,3
16.620,502,12,419,3
16.640,500,140,419,3
16.660,501,12,419,3
16.680,500,76,419,3
16.700,502,204,419,3
16.720,501,136,418,3
16.740,500,136,418,3
16.760,502,8,418,3
16.780,501,4,417,3
16.800,501,8,418,3
16.820,503,68,417,3
16.840,501,4,417,3
16.860,502,132,417,3
16.880,503,132,417,3
16.900,502,4,417,3
16.920,502,64,416,3
16.940,502,0,416,3
16.960,501,128,416,3
16.980,500,64,416,3
17.000,500,0,416,3
17.020,501,140,415,3
17.040,500,76,415,3
17.060,501,76,415,3
17.080,500,204,415,3
17.100,501,76,415,3
17.120,500,140,415,3
17.140,501,200,414,3
17.160,502,136,414,3
17.180,503,136,414,3
17.200,502,136,414,3
17.220,501,72,414,3
17.240,502,4,413,3
17.260,502,4,413,3
17.280,502,68,413,3
17.300,502,4,413,3
17.320,502,68,413,3
17.340,502,0,412,3
17.360,502,64,412,3
17.380,502,0,412,3
17.400,502,64,412,3
17.420,502,140,411,3
17.440,501,204,411,3
17.460,502,140,411,3
17.480,502,76,411,3
17.500,502,136,410,3
17.520,501,136,410,3
17.540,501,136,410,3
17.560,501,136,410,3
17.580,502,136,410,3
17.600,503,132,409,3
17.620,503,132,409,3
17.640,502,136,410,3
17.660,502,132,409,3
17.680,501,132,409,3
17.700,503,68,409,3
17.720,500,128,408,3
17.740,502,128,408,3
17.760,502,128,408,3
17.780,502,64,408,3
17.800,501,64,408,3
17.820,502,76,407,3
17.840,502,140,407,3
17.860,502,204,407,3
17.880,502,204,407,3
17.900,503,140,407,3
17.920,502,140,407,3
17.940,503,72,406,3
17.960,500,200,406,3
17.980,502,8,406,3
18.000,502,136,406,3
18.020,502,136,406,3
18.040,501,136,406,3
18.060,503,72,406,3
18.080,500,136,406,3
18.100,503,132,405,3
18.120,501,132,405,3
18.140,502,132,405,3
18.160,502,192,404,3
18.180,502,128,404,3
18.200,500,192,404,3
18.220,502,0,404,3
18.240,502,140,403,3
18.260,502,128,404,3
18.280,502,140,403,3
18.300,502,76,403,3
18.320,503,204,403,3
18.340,502,12,403,3
18.360,503,204,403,3
18.380,502,76,403,3
18.400,501,136,402,3
18.420,502,140,403,3
18.440,502,136,402,3
18.460,502,8,402,3
18.480,502,136,402,3
18.500,503,136,402,3
18.520,503,136,402,3
18.540,502,132,401,3
18.560,503,132,401,3
18.580,502,196,401,3
18.600,502,128,400,3
18.620,501,192,400,3
18.640,502,128,400,3
18.660,503,64,400,3
18.680,503,128,400,3
18.700,502,140,399,3
18.720,501,140,399,3
18.740,502,140,399,3
18.760,502,204,399,3
18.780,503,204,399,3
18.800,502,140,399,3
18.820,502,204,399,3
18.840,502,140,399,3
18.860,502,140,399,3
18.880,503,72,398,3
18.900,501,136,398,3
18.920,502,200,398,3
18.940,502,200,398,3
18.960,502,136,398,3
18.980,503,68,397,3
19.000,502,132,397,3
19.020,502,132,397,3
19.040,502,196,397,3
19.060,502,132,397,3
19.080,502,128,396,3
19.100,502,132,397,3
19.120,502,128,396,3
19.140,502,192,396,3
19.160,502,64,396,3
19.180,502,128,396,3
19.200,502,128,396,3
19.220,502,128,396,3
19.240,502,192,396,3
19.260,502,140,395,3
19.280,502,140,395,3
19.300,502,140,395,3
19.320,503,140,395,3
19.340,502,140,395,3
19.360,502,140,395,3
19.380,502,136,394,3
19.400,503,136,394,3
19.420,502,136,394,3
19.440,502,136,394,3
19.460,502,132,393,3
19.480,502,132,393,3
19.500,502,132,393,3
19.520,502,132,393,3
19.540,502,132,393,3
19.560,503,132,393,3
19.580,502,196,393,3
19.600,503,128,392,3
19.620,503,128,392,3
19.640,504,128,392,3
19.660,502,192,392,3
19.680,502,128,392,3
19.700,502,128,392,3
19.720,503,128,392,3
19.740,502,140,391,3
19.760,502,140,391,3
19.780,503,140,391,3
19.800,502,140,391,3
19.820,503,204,391,3
19.840,502,140,391,3
19.860,503,204,391,3
19.880,502,204,391,3
19.900,502,8,390,3
19.920,502,136,390,3
19.940,503,136,390,3
19.960,502,136,390,3
19.980,502,200,390,3
20.000,503,136,390,3
20.020,503,132,389,3
20.040,503,200,390,3
20.060,503,132,389,3
20.080,503,196,389,3
20.100,503,132,389,3
20.120,503,196,389,3
20.140,502,128,388,3
20.160,502,128,388,3
20.180,503,128,388,3
20.200,502,192,388,3
20.220,502,128,388,3
20.240,503,128,388,3
20.260,502,192,388,3
20.280,502,204,387,3
20.300,503,204,387,3
20.320,503,204,387,3
20.340,503,204,387,3
20.360,503,204,387,3
20.380,503,204,387,3
20.400,503,140,387,3
20.420,503,140,387,3
20.440,502,200,386,3
